date,event_type,location,kia,wia,economic_damage,summary,source_urls
"29 Jul 26","Ambush","Kachhi, Balochistan","1SF","0","","One FC personnel was killed in an ambush on a convoy in the Sanni area of Kachhi.","https://www.facebook.com/share/p/17nQQ3YQAe/"
"29 Jul 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","1M","0","","TTP militant Zulfiqar was killed in a drone strike in South Waziristan.","https://x.com/unknownb6as/status/2082861950514692209?s=20"
"29 Jul 26","Sniper Attack","Orakzai, Khyber Pakhtunkhwa","1SF","0","","A Frontier Corps personnel, Palos Gill, was killed in a sniper attack in Orakzai.","https://www.facebook.com/share/17s38M8Err/"
"28 Jul 26","Ambush","North Waziristan, Khyber Pakhtunkhwa","3SF","4SF","","An army convoy was ambushed in Shawal Valley, North Waziristan, resulting in the death of 3 army personnel and injury to 4 others.","https://t.me/Insurgent_Zone/3135"
"28 Jul 26","Ambush","Khuzdar, Balochistan","1SF","3SF","","One army personnel was killed and three others were injured in an ambush in Wadh.","https://x.com/Pakilad3/status/2082168185462116582?s=20"
"28 Jul 26","Drone Strike","Khyber, Khyber Pakhtunkhwa","6M","0","","Six militants belonging to IMP were killed in Khyber Maidan.","https://t.me/Insurgent_Zone/3338"
"28 Jul 26","Drone Strike","Nushki, Balochistan","8M","0","","Six BLA militants were killed in a drone strike in Nushki.","https://x.com/i/status/2082421597831381035"
"28 Jul 26","Targeted Killing","Barkhan, Balochistan","2SF","0","","Police DSP Murid Bugti and his guard Rasul Bakhsh were kidnapped and later killed by militants in Barkhan.","https://www.facebook.com/share/p/1CufszwBhw/"
"28 Jul 26","Intel Based Operation","Tank, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Rehmatullah was killed during an IBO in Tank.","https://t.me/Insurgent_Zone/3124"
"28 Jul 26","Targeted Killing","North Waziristan, Khyber Pakhtunkhwa","1IRR","0","","One pro-state irregular identified as Ismail Dair Duni was killed and commander Inam was injured in a targeted attack in Miranshah.","https://t.me/Insurgent_Zone/3101"
"28 Jul 26","Armed Clash","Hangu, Khyber Pakhtunkhwa","2M","0","","One TTP militant, Zulqarnain, was killed in Hangu district.","https://www.facebook.com/share/r/1G74ScUbLD/"
"28 Jul 26","Ambush","Swat, Khyber Pakhtunkhwa","1SF
4IRR
/
1M","4SF","","A CTD convoy was ambushed in Matta, Swat, resulting in one personnel killed and four others injured.","https://x.com/TKCkhyber/status/2082186580236927108?s=20"
"27 Jul 26","Armed Clash","Poonch, Azad Jammu & Kashmir","1SF","5SF","","One Rangers personnel and two policemen were killed and three others injured in an armed attack on a security checkpost in Rawalakot.","https://x.com/zarrar_11PK/status/2081823871695786119?s=20"
"27 Jul 26","Targeted Killing","Charsadda, Khyber Pakhtunkhwa","1SF","0","","One FC personnel named Zeeshan was killed in a targeted killing in Charsadda.","https://www.facebook.com/share/p/1EHN9hY4rp/"
"27 Jul 26","Armed Clash","Peshawar, Khyber Pakhtunkhwa","1M","0","","One militant, Mohsin Shah, was killed in an armed clash in Peshawar.","https://t.me/Insurgent_Zone/3074"
"27 Jul 26","Ambush","North Waziristan, Khyber Pakhtunkhwa","1SF","4SF","","Havildar Malik Jan was killed and four other army personnel were injured when their convoy was ambushed in Dossali, North Waziristan.","https://www.facebook.com/share/p/1DEY4K8UdW/"
"27 Jul 26","Armed Clash","Kalat, Balochistan","4M","0","","Four BLA Azad militants were killed in Kalat.","https://t.me/Insurgent_Zone/3127"
"27 Jul 26","Armed Clash","Kech, Balochistan","4M","0","","Four BLF militants were killed in Kech district.","https://t.me/Insurgent_Zone/3133"
"26 Jul 26","Checkpoint Attack","South Waziristan, Khyber Pakhtunkhwa","1SF","3SF","","One FC personnel was killed and three others were injured in an attack on a checkpoint in South Waziristan.","https://www.facebook.com/share/p/1Er5Vpqc9W/"
"26 Jul 26","Intel Based Operation","Lakki Marwat, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Huzaifah Marwat was killed in Ghaznikhel, Lakki Marwat.","https://x.com/TKCkhyber/status/2081729439130640855?s=20"
"26 Jul 26","Armed Clash","Duki, Balochistan","0","1SF","","One ATF personnel was injured during armed clashes in Duki, Balochistan.","https://x.com/TKCkhyber/status/2081632533629014235?s=20"
"25 Jul 26","Intel Based Operation","Dera Ismail Khan, Khyber Pakhtunkhwa","2M","0","","A clash between Pakistani security forces and TTP militants in Khoi Bahara Sharqi resulted in multiple militant casualties, with two bodies recovered as a clearance operation continues.","https://x.com/Al_Muqatil786/status/2081015584545009839"
"25 Jul 26","Sniper Attack","South Waziristan, Khyber Pakhtunkhwa","1SF","0","","An FC personnel was killed in a sniper attack in Azam Warsak, South Waziristan.","https://www.facebook.com/share/p/1LXo3hfLAX/"
"25 Jul 26","IED Explosion","North Waziristan, Khyber Pakhtunkhwa","0","2SF","","Two FC personnel were seriously injured in an IED blast in Dattakhel, north Waziristan.","https://t.me/Insurgent_Zone/3025"
"25 Jul 26","Targeted Killing","Lakki Marwat, Khyber Pakhtunkhwa","1SF","0","","An FC Balochistan soldier was killed in a targeted killing in Lakki Marwat.","https://www.facebook.com/share/p/1Gnxtph8vd/"
"25 Jul 26","Suicide Attack","South Waziristan, Khyber Pakhtunkhwa","4M","0","","Four militants were killed in a suicide bombing in Wana.","https://x.com/War_Analysts/status/2081102554784756120?s=20"
"24 Jul 26","Ambush","Mastung, Balochistan","2SF","3SF","","Two FC personnel were killed and three others injured in an ambush in Mastung.","https://x.com/TKCkhyber/status/2080689050038763929?s=20"
"24 Jul 26","Drone Strike","Peshawar, Khyber Pakhtunkhwa","0","3SF","","Three police personnel were injured in a drone strike in Peshawar.","https://www.thenews.pk/print/1428184-3-cops-injured-in-peshawar-drone-attack | https://t.me/Insurgent_Zone/2989"
"24 Jul 26","Suicide Attack","Tank, Khyber Pakhtunkhwa","18SF
/
5M","23SF","","A suicide bombing on a checkpost in Tank killed 14 army personnel and 3 police personnel, and injured 23 others. Additionally, 5 militants were killed.","https://www.reuters.com/world/asia-pacific/suicide-bombing-pakistan-kills-15-including-12-soldiers-army-says-2026-07-24/ | https://x.com/TKCkhyber/status/2080654318387257684?s=20"
"24 Jul 26","Armed Clash","Dera Ghazi Khan, Punjab","1M","0","","A TTP fighter, Amir Baloch, was killed in an armed clash in Taunsa Sharif, Dera Ghazi Khan.","https://t.me/Insurgent_Zone/3029"
"24 Jul 26","Ambush","Kohat, Khyber Pakhtunkhwa","2SF","2SF","","Two custom officials were killed and two others injured when their vehicle was ambushed in Kohat.","https://www.dawn.com/news/2018117/customs-official-martyred-in-kohat-attack | https://x.com/i/status/2080550627961422081"
"23 Jul 26","Drone Strike","Kurram, Khyber Pakhtunkhwa","1SF","5SF","","A drone strike targeted a checkpost in Dargai, Central Kurram, injuring five army personnel.","https://t.me/Insurgent_Zone/2972"
"23 Jul 26","Ambush","Mastung, Balochistan","1SF","0","","A session judge and his bodyguard, a police personnel, were killed in an ambush in Mastung.","https://apnews.com/article/pakistan-insurgents-killed-judge-restive-southwest-ebcadc4ffd1ced5b3939c9d416b6c591 | https://www.facebook.com/share/p/1D1KQhTooW/"
"23 Jul 26","Ambush","Nushki, Balochistan","4SF","4SF","","Three army personnel were killed and four others injured in an ambush in Nushki.","https://x.com/TBN_Balochistan/status/2080252773828866060?s=20"
"23 Jul 26","Drone Strike","Hangu, Khyber Pakhtunkhwa","0","4SF","","Four FC SOG personnel were injured in a drone strike on a police station in Doaba, Hangu.","https://t.me/Insurgent_Zone/2946"
"23 Jul 26","Encounter","Bannu, Khyber Pakhtunkhwa","4M","0","","Four IMP militants were killed in an encounter in Bannu.","https://www.facebook.com/share/v/14oDx9BXWx7/"
"22 Jul 26","Intel Based Operation","Mastung, Balochistan","6M","0","","Six BLA militants were killed in an intelligence-based operation in Mastung.","https://www.dawn.com/news/2017928 | https://t.me/Insurgent_Zone/2939"
"22 Jul 26","Suicide Attack","Mohmand, Khyber Pakhtunkhwa","4SF
/
1M","4SF","","Three FC personnel were killed and four others injured in an VBIED attack in Safi, Mohmand.","https://nukta.com/mohmand-blast-kills-3-security-personnel | https://x.com/taahir_khan/status/2079821691195457972?s=20"
"22 Jul 26","Targeted Killing","South Waziristan, Khyber Pakhtunkhwa","1SF","0","","One police personnel was killed in South Waziristan.","https://www.dawn.com/news/2017725 | https://t.me/Insurgent_Zone/2906"
"22 Jul 26","Suicide Attack","Bannu, Khyber Pakhtunkhwa","1SF","3SF","","One FC personnel was killed and three others were injured in a suicide bombing in Bannu.","https://www.facebook.com/share/p/18vFDmpYvY/"
"21 Jul 26","Ambush","North Waziristan, Khyber Pakhtunkhwa","3IRR","0","","Three militants were killed in Boya, North Waziristan.","https://t.me/Insurgent_Zone/2874"
"21 Jul 26","IED Explosion","Hangu, Khyber Pakhtunkhwa","1IRR","0","","A peace committee member, Izzt Gul, was killed in an IED blast in Hangu.","https://www.thenews.pk/print/1427411-peace-body-member-killed | https://x.com/Imadabbastkd/status/2079609657975549973?s=20"
"20 Jul 26","Sniper Attack","Shaheed Sikandarabad, Balochistan","1SF","0","","An SSG Commando identified as Siqqidue was killed in a sniper attack in Surab, Balochistan.","https://t.me/Insurgent_Zone/2856"
"20 Jul 26","Drone Strike","Khuzdar, Balochistan","1M","2M","","A BLA militant was killed and two others injured in a quadcopter strike in Khuzdar.","https://t.me/Insurgent_Zone/2852"
"20 Jul 26","Armed Clash","Surab, Balochistan","3M","0","","Three BLA militants were killed in an intelligence-based operation in Surab, Balochistan.","https://x.com/i/status/2079266414243074291"
"20 Jul 26","Sniper Attack","Bajaur, Khyber Pakhtunkhwa","1SF","0","","FC personnel Mudassir Shah was killed in a sniper attack in Salarzai, Bajaur.","https://t.me/Insurgent_Zone/2872"
"18 Jul 26","Targeted Killing","Washuk, Balochistan","1IRR","0","","One peace militia member was killed in Washuk, Balochistan.","https://t.me/Insurgent_Zone/2823"
"18 Jul 26","Armed Clash","Hangu, Khyber Pakhtunkhwa","1SF","1SF","","One police personnel was injured in an attack on a police checkpost in Hangu.","https://t.me/Insurgent_Zone/2819"
"18 Jul 26","Armed Clash","North Waziristan, Khyber Pakhtunkhwa","1M","0","","A militant affiliated with IMP, identified as Ajnabi, was killed in clashes in Dattakhel.","https://t.me/Insurgent_Zone/2850"
"18 Jul 26","Armed Clash","Bannu, Khyber Pakhtunkhwa","1M","1M","","One TTP fighter was killed and another injured in Miryan, Bannu during an armed clash.","https://t.me/Insurgent_Zone/2836"
"18 Jul 26","Checkpoint Attack","Khyber, Khyber Pakhtunkhwa","1SF","2SF","","One FC personnel was killed and two others injured in a fire raid on the Torchappar top checkpost in Tirah Rajgal, Khyber.","https://www.facebook.com/share/p/1GnsWPLxKe/"
"18 Jul 26","Intel Based Operation","Dera Ismail Khan, Khyber Pakhtunkhwa","1M","0","","A TTP militant, Khalid alias Commander, was killed during an IBO in Dera Ismail Khan.","https://www.dawn.com/news/2016443/wanted-terrorist-killed-in-intelligence-based-operation-in-dera-ismail-khan-ctd"
"18 Jul 26","Intel Based Operation","Bannu, Khyber Pakhtunkhwa","3M","0","","Three IMP militants were killed in Bakakhel, Bannu.","https://www.dawn.com/news/2016622 | https://x.com/TKCkhyber/status/2078384485587132902?s=20"
"18 Jul 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1M","0","","One TTP militant, Jumauddin alias Musab Qari, was killed in Shawal, South Waziristan.","https://t.me/Insurgent_Zone/2928"
"17 Jul 26","Armed Clash","Bajaur, Khyber Pakhtunkhwa","1SF","4SF","","One FC personnel was killed and four others were injured in an armed clash in Mamund, Bajaur.","https://t.me/Insurgent_Zone/2788"
"17 Jul 26","Intel Based Operation","Dera Ismail Khan, Khyber Pakhtunkhwa","1M","0","","A militant identified as Salman alias Abubakr was killed in an intelligence-based operation in Daraban, Dera Ismail Khan.","https://www.dawn.com/news/2016443 | https://t.me/Insurgent_Zone/2809"
"17 Jul 26","Targeted Killing","Bagh, Azad Jammu & Kashmir","1SF","3SF","","A former SSG commando and guard of the former Prime Minister of Azad Jammu & Kashmir was killed in a firing raid in Bagh.","https://www.dawn.com/news/2016237 | https://t.me/Insurgent_Zone/2801"
"16 Jul 26","Encounter","Bannu, Khyber Pakhtunkhwa","5M","0","","Five militants belonging to IMP were killed in an encounter by CTD in Bannu.","https://english.news.cn/asiapacific/20260717/307f66b0932c4bde88e8e5a21395bdb1/c.html | https://t.me/Insurgent_Zone/2770"
"16 Jul 26","Armed Clash","Dir Upper, Khyber Pakhtunkhwa","1SF","3SF","","Three security personnel, including two FC personnel and one police ASI, were injured in an attack on a joint FC and Police checkpost in Dir Upper.","https://www.washingtonpost.com/world/2026/07/15/pakistan-twin-militant-attacks-northwest-afghanistan/2ffd5cfe-8081-11f1-8a16-393bd03340b0_story.html | https://t.me/Insurgent_Zone/2773"
"16 Jul 26","Suicide Attack","South Waziristan, Khyber Pakhtunkhwa","1M","6SF","","Six police personnel were injured in a suicide bombing in Wana, South Waziristan.","https://www.facebook.com/PakistanTVGlobal/posts/security-forces-foiled-a-major-terrorist-plot-in-wana-through-a-timely-intellige/1458207199664420/ | https://x.com/LalWazir19/status/2077600195421122849?s=20"
"16 Jul 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1SF
/
1M","7SF","","An attack on a military camp in Shakai, South Waziristan resulted in the death of one army personnel and one militant, with seven other army personnel injured.","https://t.me/Insurgent_Zone/2720"
"16 Jul 26","Ambush","Mastung, Balochistan","8SF","25SF","","Eight Army and FC personnel were killed and 25 injured in an ambush in Mastung.","https://www.arabnews.com/node/2651237/pakistan | https://x.com/War_Analysts/status/2078012533395321200?s=20"
"16 Jul 26","Checkpoint Attack","Duki, Balochistan","1SF","3SF","","One police personnel was killed and three others injured in an attack on a police station in Duki, Balochistan.","https://t.me/Insurgent_Zone/2916"
"16 Jul 26","Intel Based Operation","Harnai, Balochistan","3M","0","","Three militants affiliated with the BLA were killed in Harnai.","https://www.dawn.com/news/2015759 | https://x.com/BalochDiaries/status/2077778606634525184?s=20"
"15 Jul 26","Suicide Attack","Bannu, Khyber Pakhtunkhwa","1SF
/
3M","10SF","","A suicide bombing at Miryan Police Station in Bannu resulted in the death of 1 police personnel and injured 10 others.","https://www.dawn.com/news/2015898/cop-martyred-10-others-injured-in-attack-on-bannus-miryan-police-station"
"15 Jul 26","Ambush","Dir Lower, Khyber Pakhtunkhwa","3SF","17SF","","Three elite force personnel were killed and 17 others injured in an ambush in Lower Dir.","https://abcnews.com/International/wireStory/twin-attacks-militants-kill-3-police-officers-wound-134793439 | https://x.com/taahir_khan/status/2077452737370058919?s=20"
"15 Jul 26","Armed Clash","Kurram, Khyber Pakhtunkhwa","1M","7SF
/
1M","","One militant was killed and another injured in clashes in Upper Kurram after militants briefly took over a post in shalozan upper kurram","https://www.dawn.com/news/2015831/7-security-men-hurt-in-kurram-attack"
"15 Jul 26","Targeted Killing","Harnai, Balochistan","3SF","0","","The bodies of a retired havildar, an ASF inspector, and a retired CTD corporal were found in Harnai.","https://www.dawn.com/news/2015759 | https://t.me/Insurgent_Zone/2688"
"15 Jul 26","Targeted Killing","Turbat, Balochistan","1IRR","0","","A pro-state militia member named Zubair was abducted and killed in Turbat.","https://t.me/Insurgent_Zone/2743"
"14 Jul 26","IED Explosion","Peshawar, Khyber Pakhtunkhwa","1SF","0","","A Bomb Disposal Unit personnel, Khaista Rehman, was killed while attempting to diffuse an IED in Hassankhel Peshawar","https://www.dawn.com/news/2015448"
"14 Jul 26","Armed Clash","Poonch, Azad Jammu & Kashmir","2SF","5SF","","One ranger personnel was killed and 5 others were injured in armed clashes in Rawalakot.","https://www.thenews.pk/story/1426013-rangers-personnel-martyred-another-injured-in-banned-jaac-attack-in-rawalakot | https://x.com/zarrar_11PK/status/2076945212551905751?s=20"
"14 Jul 26","Armed Clash","Harnai, Balochistan","2SF","0","","Two army personnel were killed during armed clashes in the Zarghun Ghar area of Harnai.","https://t.me/Insurgent_Zone/2666"
"13 Jul 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","Police Constable Ziaullah was killed in a targeted attack in Bannu.","https://www.dawn.com/news/2015217 | https://www.facebook.com/share/p/1Bb7dwo4VE/"
"13 Jul 26","Targeted Killing","Nushki, Balochistan","1IRR","0","","Tariq Badini, a member of a peace committee, was killed in Nushki.","https://thebalochistanpost.net/2026/07/three-killed-in-separate-shootings-in-noshki-and-quetta/ | https://t.me/Insurgent_Zone/2650"
"13 Jul 26","IED Explosion","Tank, Khyber Pakhtunkhwa","2SF","3SF","","Two police personnel, including an ASI, were killed and three others were injured in an IED attack in Jandola, Tank.","https://www.dawn.com/news/2015111 | https://x.com/taahir_khan/status/2076600914178351435?s=20"
"13 Jul 26","IED Explosion","Harnai, Balochistan","3SF","2SF","","An IED targeted an armoured vehicle in Zarghun Ghar, Harnai, killing Hawaldar Mubashir Hussain and sepoy usman ghani from FC and injuring two other army personnel.","https://t.me/Insurgent_Zone/2632"
"13 Jul 26","IED Explosion","Dera Bugti, Balochistan","0","0","","An IED blast in Sui-dera Bugti injured two peace committee members.","https://t.me/Insurgent_Zone/2653"
"13 Jul 26","Armed Clash","Harnai, Balochistan","2M","0","","Two TTP militants were killed in armed clashes in Zarghun ghar area of Shahrig, Harnai.","https://t.me/Insurgent_Zone/2656"
"12 Jul 26","Targeted Killing","Khuzdar, Balochistan","1SF","0","","Police Constable Manzoor Ahmed Hamzalzai was killed in a targeted attack in Wadh.","https://t.me/Insurgent_Zone/2619"
"12 Jul 26","Targeted Killing","Nowshera, Khyber Pakhtunkhwa","1SF","0","","A police personnel identified as Inam Ali was killed in a targeted attack in Nowshera.","https://www.facebook.com/share/p/1EqNS8zv8M/"
"12 Jul 26","Armed Clash","Khuzdar, Balochistan","1IRR","0","","The brother of Ali Muhammad Qalandarani, a Wadh peace committee member, was killed in an attack on his home in Wadh.","https://t.me/Insurgent_Zone/2626"
"12 Jul 26","Intel Based Operation","Nushki, Balochistan","4M","0","","Pakistani security forces conducted an operation in Nushki, Balochistan, killing 4 militants.","https://x.com/Al_Muqatil786/status/2076062774078345503"
"12 Jul 26","Intel Based Operation","Quetta, Balochistan","4M","0","","In an IBO in Saran Tangi, Quetta, 4 militants affiliated with the BLA were allegedly killed. Security forces recovered weapons and military equipment from their possession.","https://x.com/warfrontop/status/2076286143138779430"
"12 Jul 26","Grenade Attack","Quetta, Balochistan","0","1SF","","One police personnel was injured in a grenade attack on a police station in Quetta.","https://t.me/Insurgent_Zone/2598"
"12 Jul 26","Targeted Killing","Buner, Khyber Pakhtunkhwa","1SF","0","","An Assistant Sub-Inspector (ASI) of the Counter-Terrorism Department (CTD) was killed in Buner.","https://www.dawn.com/news/2015018 | https://www.facebook.com/share/p/1FtHL8PYGo/"
"11 Jul 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","2M","0","","Two TTP militants were killed in an intelligence-based operation in Mirali, North Waziristan.","https://t.me/Insurgent_Zone/2574"
"11 Jul 26","Armed Clash","Bajaur, Khyber Pakhtunkhwa","2M","0","","Two militants affiliated with Jamaat-ul-Ahrar were killed in Bajaur.","https://t.me/Insurgent_Zone/2663"
"11 Jul 26","Intel Based Operation","Kalat, Balochistan","2M","0","","Two BLA militants were killed in Kalat.","https://x.com/i/status/2075904575450788347"
"11 Jul 26","Targeted Killing","Kohat, Khyber Pakhtunkhwa","1SF","0","","Former Police Constable Asfandyar was killed in a targeted attack in Kohat.","https://www.facebook.com/share/p/1BFaemnL2c/"
"11 Jul 26","Targeted Killing","Lakki Marwat, Khyber Pakhtunkhwa","1SF","0","","A Frontier Corps personnel was killed in a targeted killing incident in Lakki Marwat.","https://t.me/Insurgent_Zone/2572"
"10 Jul 26","Armed Clash","Khuzdar, Balochistan","1SF
/
6M","3SF","","BLA militants attacked Zeedi Police Station in Khuzdar. Security forces responded, eliminating 5 militants and while 3 security personnel were injured. One SSG commando was killed.","https://x.com/FrontierPulse_2/status/2075520870681034852 | https://x.com/War_Analysts/status/2075649877657481474?s=20"
"10 Jul 26","Armed Clash","Panjgur, Balochistan","1M","0","","A TTP militant identified as Saddam Jan Baloch was killed in Makran.","https://t.me/Insurgent_Zone/2556"
"10 Jul 26","Encounter","Karak, Khyber Pakhtunkhwa","4M","0","","Four TTP militants were killed in an encounter in Karak.","https://www.dawn.com/news/2014442 | https://x.com/i/status/2075429758645698846"
"10 Jul 26","Drone Strike","Karak, Khyber Pakhtunkhwa","0","1SF","","One police personnel was injured in a drone strike on a police station in Karak.","https://t.me/Insurgent_Zone/2540"
"10 Jul 26","Intel Based Operation","Peshawar, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Hussain was killed in Mattani Peshawar.","https://x.com/War_Analysts/status/2075505420798754824?s=20"
"10 Jul 26","Targeted Killing","North Waziristan, Khyber Pakhtunkhwa","2SF","0","","Two CTD personnel were shot dead in Spinwam, North Waziristan.","https://www.dawn.com/news/2014442 | https://x.com/LalWazir19/status/2075615635351232858?s=20"
"09 Jul 26","Ambush","Nushki, Balochistan","2SF","2SF","","Two police personnel were killed in an ambush by unknown assailants in Nushki.","https://www.facebook.com/share/p/1Akw2D5ofu/"
"09 Jul 26","Encounter","Mohmand, Khyber Pakhtunkhwa","1M","1SF
/
1M","","In an encounter in Mohmand, one militant was killed and another injured. A Station House Officer (SHO) was also injured.","https://www.facebook.com/share/p/18rjKksYfr/"
"09 Jul 26","IED Explosion","Washuk, Balochistan","1SF","3SF","","An IED blast targeted an FC convoy in Washuk, killing one FC personnel and injuring three others, two critically.","https://x.com/IhsanTipu/status/2075131294779048229?s=20"
"09 Jul 26","Targeted Killing","Tank, Khyber Pakhtunkhwa","1SF","0","","Elite constable Ziaullah Bettani was killed in Tank district.","https://www.facebook.com/share/p/17qJrn1qYq/"
"08 Jul 26","Targeted Killing","North Waziristan, Khyber Pakhtunkhwa","1IRR","0","","A famous Taliban commander known as Malyar Waziristani, part of the Gurbaz Group, was killed in Miranshah.","https://x.com/LalWazir19/status/2074794257840566355?s=20"
"08 Jul 26","Suicide Attack","Khuzdar, Balochistan","7SF
13IRR
/
5M","10SF","","A suicide bombing in Khuzdar targeting the home of Mir Shafiq ur Rehman Mengal killed 7 policemen and 13 peace militia members. 5 militants were also killed","https://www.dawn.com/news/2014288 | https://x.com/BalochDiaries/status/2074925536149967260?s=20"
"08 Jul 26","Ambush","Lasbela, Balochistan","11SF","3SF","","An ambush in Lasbela killed 11 Army soldiers and injured 3 others.","https://www.arabnews.pk/node/2651237/pakistan | https://x.com/Pakilad3/status/2074800694305964221?s=20"
"07 Jul 26","Ambush","Shikarpur, Sindh","1SF","1SF","","One police personnel was killed and another seriously injured in an ambush in Shikarpur.","https://t.me/Insurgent_Zone/2505"
"07 Jul 26","Intel Based Operation","Dalbandin, Balochistan","6M","0","","Pakistani security forces conducted an intelligence-based operation against alleged Militants in Laghap, Dalbandin, killing 6 and recovering weapons.","https://x.com/Al_Muqatil786/status/2074419290946871686"
"07 Jul 26","Checkpoint Attack","Ziarat, Balochistan","31SF","0","","30 police personnel, including 2 SHO and 1 DSP were killed in an attack on a checkpost in Ziarat, Balochistan.","https://t.me/Insurgent_Zone/2485"
"06 Jul 26","Sniper Attack","Bannu, Khyber Pakhtunkhwa","0","1SF","","A police constable was critically injured in a sniper attack in Bakakhel, Bannu.","https://www.facebook.com/share/p/1MpHYoKHiC/"
"06 Jul 26","Armed Clash","North Waziristan, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Wahab alias Sayad was killed in an armed clash in North Waziristan.","https://www.facebook.com/share/p/1Akw2D5ofu/"
"06 Jul 26","Armed Clash","Quetta, Balochistan","1M","0","","One TTP militant was killed in Hana Urak, Quetta.","https://t.me/Insurgent_Zone/2468"
"06 Jul 26","Drone Strike","Kalat, Balochistan","3SF","15SF","","Two FC personnel were killed in clashes in Kalat, Balochistan.","https://www.facebook.com/share/p/1DAxm1rqne/"
"06 Jul 26","Ambush","Loralai, Balochistan","1SF","1SF","","One FC personnel was killed in an ambush in Loralai.","https://www.facebook.com/share/p/1BGckNUnt7/"
"06 Jul 26","Armed Clash","Khuzdar, Balochistan","2SF","0","","One army personnel was killed during armed clashes in Khuzdar.","https://www.facebook.com/share/1BNcLdo5kW/"
"05 Jul 26","Other","Bannu, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Gohar was killed in Bannu.","https://t.me/Insurgent_Zone/2363"
"05 Jul 26","Targeted Killing","Islamabad, Islamabad Capital Territory","1SF","0","","A Group Captain of the Pakistan Air Force Intelligence Directorate was assassinated in Islamabad.","https://t.me/Insurgent_Zone/2354"
"05 Jul 26","Armed Clash","Quetta, Balochistan","1SF
4IRR","2SF","","A clash between local militia and police resulted in the death of 3 peace committee members and one police personnel. 10 others were injured.","https://t.me/Insurgent_Zone/2375"
"04 Jul 26","Targeted Killing","Dera Ismail Khan, Khyber Pakhtunkhwa","1IRR","0","","A pro-state militia member was killed in Kulachi, Dera Ismail Khan.","https://t.me/Insurgent_Zone/2334"
"04 Jul 26","Ambush","Kech, Balochistan","1SF","1SF","","One FC personnel from the Bomb Disposal Unit was killed and another injured when their party was ambushed by militants in Kech.","https://www.facebook.com/share/p/1GZJ9q4dZr/"
"03 Jul 26","Suicide Attack","Gwadar, Balochistan","5SF
/
1M","15SF","","A suicide bombing targeted a joint Pakistan Coast Guard and Pakistan Army facility in Jiwani, resulting in 5 security personnel killed and 15 injured.","https://x.com/Pakilad3/status/2073213358979899418?s=20"
"03 Jul 26","Armed Clash","North Waziristan, Khyber Pakhtunkhwa","1M","0","","An IMP militant was killed in North Waziristan.","https://t.me/Insurgent_Zone/2488"
"03 Jul 26","Sniper Attack","Khyber, Khyber Pakhtunkhwa","1SF","1SF","","One FC personnel Nigarullah was killed and another injured in a sniper attack in Khyber district.","https://www.facebook.com/share/p/1JZweCxZcP/"
"03 Jul 26","Sniper Attack","Bajaur, Khyber Pakhtunkhwa","1SF","1SF","","An attack on the Bomb Disposal Unit of 186 Wing in Salarzai, Bajaur, resulted in the death of Lance Naik Saqib and injuries to other FC personnel.","https://www.facebook.com/share/p/1HVxJzxqqs/"
"02 Jul 26","Other","Panjgur, Balochistan","2M","0","","Two alleged militants were killed in Panjgur's Mortan village when an IED they were planting detonated prematurely.","https://x.com/War_Analysts/status/2072698899761103354?s=20"
"02 Jul 26","Ambush","Mohmand, Khyber Pakhtunkhwa","2SF","1SF","","An Additional SHO and a Constable were killed, and another police personnel was critically injured after their Police Mobile was ambushed in Mohmand.","https://www.facebook.com/share/p/1BRJVqBJqz/"
"01 Jul 26","Targeted Killing","Bajaur, Khyber Pakhtunkhwa","1SF","0","","Lance Naik Hazrat Saeed of FC was killed in a targeted attack in Mamund, Bajaur.","https://www.facebook.com/share/p/1Ej6q9WSax/"
"01 Jul 26","Intel Based Operation","Nasirabad, Balochistan","2M","0","","Two BLA militants were killed in Nasirabad, Balochistan.","https://x.com/warfrontop/status/2072239624702034037"
"01 Jul 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","1M","0","","A militant named Zubair, also known as Zulfiqar, was killed in Mir Ali, North Waziristan.","https://x.com/i/status/2072371883203588545"
"01 Jul 26","Armed Clash","Mastung, Balochistan","1SF","0","","FC soldier Israr Ahmed Lashari from Taunsa was killed during clashes in Dasht, Mastung.","https://www.facebook.com/100071965024983/posts/1027762232965935"
"01 Jul 26","Targeted Killing","Hangu, Khyber Pakhtunkhwa","1SF","0","","A police personnel from Elite Force was killed in a targeted killing in Hangu.","https://t.me/Insurgent_Zone/2234"
"01 Jul 26","Targeted Killing","Peshawar, Khyber Pakhtunkhwa","1IRR","0","","A peace committee member was killed in Badhbir, Peshawar.","https://t.me/Insurgent_Zone/2266"
